"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_012540",4679.64714760145,8.98200431547173,0.506920912527085,1.92676593432301e-71,1.98996385696881e-67
"2","NM_012541",106467.012526352,3.94541335816537,0.224353038466329,1.71694254473839e-70,8.86629130102902e-67
"3","NM_130407",800.449885360918,3.77337894573999,0.252924956060104,1.49476995780041e-51,5.1459947080542e-48
"4","NM_001109459",881.056785228942,3.13302315051017,0.341934829187867,2.52218389714162e-21,6.51227882241965e-18
"6","NM_001170562",74.7738001814528,2.27718759629749,0.309088894286537,1.06414382839283e-14,1.83174624327353e-11
"8","NM_001109430",749.743222902462,-1.75609199090964,0.267202289077921,2.27855592529117e-12,2.73905869994657e-09
"9","NM_001191751",141.256942136007,-2.10768566030682,0.321155483437089,2.38686370057312e-12,2.73905869994657e-09
"10","NM_033352",62.3599617751994,-3.12849154062588,0.479557609454697,3.29696206846384e-12,3.40510242430946e-09
"19","NM_013200",262.23963054149,-3.01404779055749,0.584573276499341,9.92154290461131e-09,5.39314184835924e-06
"21","NM_012608",83.7253313399223,-1.55528551157074,0.304550794876795,1.45613383423934e-08,7.23388077705673e-06
"28","NM_053774",173.393855185064,-2.52370314849805,0.557939876339495,2.32771040763128e-07,8.58592610357711e-05
"30","NM_031970",386.489665548339,-1.97235705758145,0.448706220717615,4.32830629914219e-07,0.000149009158191802
"40","NM_001010921",9808.9278418463,1.69153737003588,0.424169748228021,3.04240077926809e-06,0.00078554788120702
"46","NM_001033066",808.175122018314,1.95478765247607,0.513276925960403,5.4848526066793e-06,0.00123146864612574
"51","NM_001109067",31.2782469520437,-2.36268963071661,0.673019554785266,1.62413741388638e-05,0.00328903749227814
"55","NM_001037327",240.988017841466,1.80967766331311,0.531093807590538,2.37795844927515e-05,0.00446537361165705
"56","NM_030832",5697.70412233901,-1.8154475286672,0.538231926649002,2.46332456285977e-05,0.00454307430093137
"57","NM_001191836",57.773513473266,1.79978721720788,0.528059872916792,2.53727039550184e-05,0.0045973559025865
"62","NM_175760",544.181409000029,-2.05118687784414,0.626553371168631,3.43011617695137e-05,0.00571390965734738
"79","NM_001135819",67.6988134026914,-1.52947925038212,0.490187821409964,6.24206320450781e-05,0.00820333073723004
"80","NM_001106541",95.623401332162,-1.70961550795019,0.552708849189381,6.57165661986038e-05,0.00848400869623975
"91","NM_001025697",1415.61497607814,-1.75696716284527,0.59558923948132,9.73004809642346e-05,0.0110430699714133
"118","NM_012673",23.5069055763744,2.06436028112959,0.750086267971486,0.000208373610634101,0.0183665082966631
"141","NM_001127524",541.146729050043,-1.50397563944857,0.587141148500189,0.000303304977515955,0.0222165518282609
