"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_001008363",4054.76554093754,4.33401888591461,0.190809323674467,2.0657214872954e-115,2.22106374314001e-111
"2","NM_031642",4283.59687182151,3.81463587617224,0.213664911271228,2.16976766712158e-72,1.16646709784456e-68
"3","NM_001109260",561.520345506698,5.3159025673769,0.29844786577748,8.04898068970586e-72,2.88475467919058e-68
"4","NM_001130573",1055.97228800381,6.53637942523955,0.374307089750522,2.47719267698692e-69,6.65869391574084e-66
"5","NM_031821",5213.44175718749,2.61308234079017,0.156293506502651,6.75662173412027e-64,1.45294393770522e-60
"6","NM_012623",4726.97216273136,6.61522722743613,0.402563103415591,3.90103470547158e-62,6.99065419220507e-59
"7","NM_001130500",412.4233898441,4.54037849813893,0.282865229205955,1.71130231396142e-59,2.62856035424475e-56
"8","NM_001108099",1793.51872875092,2.33937649513148,0.146695897194471,2.17037676864857e-58,2.91698637706368e-55
"9","NM_001039344",551.875578380221,3.77165836491096,0.242064303948902,6.81121433232383e-56,8.13713072234954e-53
"10","NM_012923",3556.30296183169,2.76388560608574,0.179601802838151,1.18938477098447e-54,1.2788265057625e-51
"11","NM_001108977",1600.23093421008,2.80433066372275,0.190458635509672,3.2726619003014e-50,3.19887825018551e-47
"12","NM_053923",693.625713971271,-3.38542198299343,0.231688286886169,1.3765711282155e-49,1.23340773088109e-46
"13","NM_001008527",2973.84976567451,-3.15622579063108,0.221218289573276,2.01065416144052e-47,1.66296565721604e-44
"14","NM_001106632",334.420505408728,4.61787089374001,0.330012282700192,8.01611433780329e-46,6.15637581143293e-43
"15","NM_019290",325.862801286047,4.33228854052209,0.311667952180556,3.90471992262953e-45,2.79890324054085e-42
"16","NM_017076",1029.81554605967,5.13021459796476,0.369644698866951,8.49885060256516e-45,5.71122760492379e-42
"17","NM_012548",280.283385256916,5.68545039211887,0.427805686953418,1.52719410404956e-41,9.65905353337698e-39
"18","NM_012703",12894.7398093382,-3.30527126757246,0.248947304677547,1.78693375208535e-41,1.06739509457898e-38
"19","NM_012584",13781.3407408006,-2.70359293600996,0.208596899396384,1.29630899638226e-39,7.33574438373791e-37
"20","NM_017047",13193.9799992352,-1.84336631495907,0.143262157668558,5.68574937457446e-39,3.05665886377123e-36
"21","NM_181086",769.76803490723,4.1415521628631,0.323579327088013,8.44767486634503e-39,4.32520953156865e-36
"22","NM_139089",379.994808365788,3.39409518060228,0.26552117846138,1.43666013939813e-38,7.02134991764031e-36
"23","NM_001107909",262.080306681308,4.61944992047674,0.363012781785576,2.01653458346178e-38,9.42686080060044e-36
"24","NM_001105754",2429.26594480618,-4.15155156667309,0.331447917821785,3.11131800984702e-37,1.39387046841147e-34
"25","NM_212495",7309.8847703484,2.33393694447592,0.191363680072704,1.67512044211561e-35,7.20435799745081e-33
"26","NM_001108300",385.760971397838,-6.26979146684586,0.514526039489291,2.19893722933625e-35,9.09345118839361e-33
"27","NM_012912",1601.5140336477,5.78054779940239,0.479082535179793,7.95908092891595e-35,3.16948289435942e-32
"28","NM_001025675",682.791121836375,3.17962738241567,0.265590247818845,3.36742520234834e-34,1.29309127770176e-31
"29","NM_001015012",1821.05831472816,4.0208568210739,0.344787970761964,1.18139245581754e-32,4.09752634998395e-30
"30","NM_012797",376.464705321444,3.52393832975492,0.302094768678904,1.1588168592819e-32,4.09752634998395e-30
"31","NM_145673",1205.72172677744,2.24751168464651,0.19235099883376,1.12054285034379e-32,4.09752634998395e-30
"32","NM_001012621",1150.02787174712,-2.641515377735,0.227529051767353,2.3582026309322e-32,7.92356083993218e-30
"33","NM_019905",943.93893299261,2.5601873380645,0.221022245355085,3.64630191679634e-32,1.15308935909983e-29
"34","NM_178096",673.817842095763,-3.09705281117042,0.267764637596516,3.58654115040192e-32,1.15308935909983e-29
"35","NM_012638",145.865241690776,3.58380558871819,0.313154073075847,1.81952630992077e-31,5.58958482407661e-29
"36","NM_001109459",606.90949346666,2.56097456083314,0.224266233029006,2.17237630074644e-31,6.48816388489604e-29
"37","NM_019140",2187.61390256453,-1.95568820356193,0.172751354766256,8.12348855203863e-31,2.3606418624735e-28
"38","NM_001014100",340.309170488083,3.8714991772845,0.345266433914513,1.6038977041889e-30,4.53818634616818e-28
"39","NM_133578",714.10183767471,2.73850738662327,0.244560826175648,2.67103322136733e-30,7.36383312721577e-28
"40","NM_001013222",366.406272389461,3.69701560048113,0.330918939626216,3.09623249564089e-30,8.32267294828271e-28
"41","NM_020540",1341.7016353458,4.32927259547314,0.388372223546055,4.18033298501444e-30,1.09626683548476e-27
"42","NM_001008886",4319.10822480872,-2.15310442163976,0.193965357171876,8.95266031060444e-30,2.29188103951474e-27
"43","NM_001034128",2185.5282065182,-1.76767304338409,0.160943579009894,4.00204282942695e-29,1.00069684888369e-26
"44","NM_001013975",1512.69681074602,-3.50312395911109,0.3206963315392,4.73091520312074e-29,1.1560636423626e-26
"45","NM_001109430",544.72654463589,-4.70227377267428,0.433411711355961,1.00338192946296e-28,2.39741389013017e-26
"46","NM_001047858",2688.59759835803,3.00850909668466,0.278529355225738,2.1143116594888e-28,4.94197368757034e-26
